,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,Total_treatment
30,2010,Soils,Total,0.0,0.0,55.85185185185185,0.0,0.0,0.0,445.185,2889.9375,2888.4959999999987,50.040000000000006,0.0,0.0,85351.18666666668,0.0,43473347.266787216,433090.80098981736,14075.27,44012194.03479556,0.0,0.0,9893991.457354195,14265496.267061228,16094797.586,0.0,40254285.310415424
31,2010,Dredging spoils,Total,0.0,0.0,72.90528100643087,0.0,0.0,0.0,0.0,266.2194523020249,0.0,0.0,0.0,0.0,0.0,0.0,15359822.534390165,0.0,0.0,15360161.659123473,0.0,0.0,2519.391797556719,261.7801047120419,367800.59230890055,15250013.584252292,15620595.34846346
32,2010,Mineral waste from waste treatment & stabilised waste,Total,31501.99166666666,0.0,1041.0,0.0,0.16559999999999994,0.0,0.0,9.0,4001.0,138.63260852591213,5.729027122504323,0.0,0.0,0.0,23811.1846,5046.004603683601,0.0,65554.70810599868,6929.0,0.0,5555.494,51183.699712802765,1613712.1490000002,0.0,1677380.342712803
33,2012,Spent solvents,Total,29.4,1262.45,567.9809122571407,53.66572590528366,1618.5193308868427,2033.3203255315634,544.4972057522632,116659.9635726616,83.10965329578926,961.0710080557359,1071.3275717630106,171.9269862361189,74.5306051966708,30.025788164999625,2496.0416666666665,3554.6727429916323,0.0,131212.50309536533,0.0,0.0,47.933,0.0,11.58,0.0,59.513
34,2012,"Acid, alkaline or saline wastes",Total,1.11,147.70999999999995,6385.422344398394,305.5683993594219,61.21245166705659,13719.879263864153,16789.21069625884,99594.72297184487,4895.689908216609,44493.191459193054,13416.416977884297,1914.9203039406714,145.8213001637751,519.7660809667541,0.0,21359.000146196227,0.0,223749.64230395405,0.0,0.0,57878.221,0.0,76531.224,0.0,134409.445
35,2012,Used oils,Total,35755.49064660372,29550.944,4861.4540184858315,322.5225649902739,191.66646688063832,3340.7954161321727,3609.581598513575,42757.03996534229,15491.543740563771,28274.57898997884,20128.607388266115,3346.33755211766,26080.250190216644,72.56889355561398,1.579090909090909,121185.41625149026,6292.543999999996,341262.92077404645,101054.0,1285.0,27845.525,0.0,533.5,0.0,130718.025
36,2012,Chemical wastes,Total,158083.9079320425,22721.096,2731.4427802593405,5309.221588959112,5138.807087071394,40371.34684086248,10949.043868109173,475296.4976167245,6717.770854469736,121079.22056222905,26468.179128409884,3159.286889407844,5894.882094500998,1117.0963956547987,373.7385,123274.2362933415,7758.675000000002,1016444.4494320423,0.0,131248.405,141081.835856,0.0,31510.91100000001,0.0,303841.151856
37,2012,Industrial effluent sludges,Total,68.53999999999999,61931.743,107095.22784882408,1742.8224510478476,858.63961122511,110532.44958719467,2734.277049382013,45834.37388738555,10432.323272563708,30991.456927523883,4592.455782322229,240.08519651197452,7390.16153327405,15503.24385616462,98.70822,14071.241913853088,0.0,414117.7501372728,4252.0,3991.0,61239.95088,190.5552,31557.60757,0.0,101231.11365
38,2012,Sludges & liquid wastes from waste treatment,Total,0.0,0.0,0.0,1.0,7.96,1.0,29.0,1796.79,2413.0,3.0,175.0,0.0,0.0,428.17,0.0,307.2100000000001,0.0,5162.13,10904.35,0.0,92121.5885,1675.3338,113251.2025,0.0,217952.47480000003
39,2012,Health care & biological wastes,Total,1488.8538789257927,36.284,7044.9211,11.3762,2.5585000000000004,12.118999999999998,2.1,831.9527222222222,14.296666666666667,57.202138888888896,707.2231293859649,47.09091428571429,3130.1212,17.08,0.0,353169.45963680994,300.0,366872.6390871852,0.0,113149.80699999999,119.79,0.0,123080.8522,0.0,236350.4492
