,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
146,2012,07.5,Wood wastes,Total,0,0,24688.680115044186,2704.8249215418209,120360.52768662017,49183.305554113991,437.91610769690885,38949.723010157097,5908.1299875663544,54897.252598714294,56325.659181683295,25944.624200374459,1358.764070582424,746.07839150987616,414777.06900000019,1047031.8281743948,627005.68600000057,2470320.0690000006,2012,07.5,Wood wastes,Total,202155,0,2155236.4740000004,62166.799999999996,19823.013999999999,0,2439381.2880000002
149,2012,07.6,Textile wastes,Total,0,0,317.59705857482726,3439.3094459219392,0,26.5918489768844,0,27.43610760492475,0.1848959209959776,11.333824353737368,5.8101546811076936,39.639106253888833,2.830988424587102,0,0,428.16256928710766,89555.488999999929,93854.384999999922,2012,07.6,Textile wastes,Total,0,0,391932.74900000001,0,3659.7750000000001,0,395592.52400000003
152,2012,07.7,Waste containing PCB,Total,0,0,0,0,0,0,0,0,0,0,4617.4309999999987,0,0,0,0,0,0,4617.4309999999987,2012,07.7,Waste containing PCB,Total,0,0,5296.9010000000007,0,0,0,5296.9010000000007
155,2012,08*,Discarded equipment,Total,9.0781349857541009,0,1672.5831439568753,2844.7028828647512,64.755333614157252,5388.0131921574975,26.869898195972347,976.52200342024048,589.87668866342551,1644.3005240582897,1849.8745973716611,4693.2267953303426,347.28360000141475,90.42225245033859,0,126534.56908791492,254813.13199999998,401545.21013498562,2012,08*,Discarded equipment,Total,0,0,283078.81,0,552.05500000000006,0,283630.86499999999
158,2012,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192260.542999997,320.21999999999969,1192580.762999997,2012,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0
161,2012,08.41,Batteries & accumulators wastes,Total,3176.1582871794867,0,5.9662426201723795,3.0456961115240642,2.3023561148530924,0.77680580458355319,0.10107257464798383,80.633944195432022,0.99983731818992272,2.7313212942535383,313.68554556634405,6.6739540961249944,6.6585792614485415,1.3486001247215649,0,78098.562044917649,6642.3820000000005,88342.026287179426,2012,08.41,Batteries & accumulators wastes,Total,0,0,78718.46100000001,0,14.24,0,78732.701000000015
164,2012,09.1,Animal & mixed food waste,Total,14169.243633082981,12,870543.35400000005,0,0,0,0,0,0,0,0,0,0,0,0,658923.29200000013,232710.23799999995,1776358.1276330831,2012,09.1,Animal & mixed food waste,Total,121445,253006,721302.25800000003,0,89510.587,0,1185263.845
167,2012,09.2,Vegetal wastes,Total,0,0,225526.75299999997,0,0,0,0,0,0,0,0,0,0,0,0,80902.228999999978,3743378.6419999977,4049807.6239999975,2012,09.2,Vegetal wastes,Total,43114,0,3420307.3259999994,1014.54,99813.123999999996,0,3564248.9899999993
170,2012,09.3,"Animal faeces, urine & manure",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,09.3,"Animal faeces, urine & manure",Total,293020,0,12564.78,175.22,2668.96,0,308428.96000000002
173,2012,10.1,Household & similar wastes,Total,776.98983050043012,0,451465.87338419684,325.88786117383643,229.27657438767596,150545.57720611687,104.34167042550294,450755.04166654771,336.70893753001906,301796.58162584773,151524.37800460515,745.78528063349324,309.61978026696835,20.598404209700199,0,7332990.0820040479,12327236.617000002,21169163.359230492,2012,10.1,Household & similar wastes,Total,0,5131633,377591.56700000004,5686.3,8049620.318,0,13564531.184999999
176,2012,10.2,Mixed & undifferentiated materials,Total,8946.5831326966254,3055.2000000000007,83651.696378925728,793.35309277043586,173.07280061067604,116272.05774441444,228.29445587492154,2075807.3554682352,657.22800225092783,5114.7843458868547,3283.0930953722391,837.18889488789762,429.01133854444402,132.08179178566871,0,72405.11259044052,2594935.6460000044,4966721.759132701,2012,10.2,Mixed & undifferentiated materials,Total,64645,0,143201.45799999998,0,317986.90899999999,0,525833.36699999997
179,2012,10.3,Sorting residues,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,10.3,Sorting residues,Total,274854,0,494781.26300000004,49583.47,8270344.3850000007,0,9089563.1180000007
182,2012,11,Common sludges,Total,0,0,31391.465275687366,0.19088890466895325,3.8927840890195209,3369.5763453229033,1.0366386537085299,150.53820036923864,33.396760948289476,79.137645968000982,116.09076215145451,12.573668178057368,40.00578395134135,933342.35136873228,0,187156.53834863182,0,1155696.794471588,2012,11,Common sludges,Total,29582,161204,751207.03788449045,3140.73,1790.326,0,946924.09388449043
185,2012,12.1,Mineral waste from construction & demolition,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48238517.548003227,0,0,48238517.548003227,2012,12.1,Mineral waste from construction & demolition,Total,0,0,43398523.798,658030.25,1959300.3219999999,0,46015854.369999997
188,2012,"12.2, 12.3, 12.5",Other mineral wastes,Total,21292.984340558054,11751929.467,19299.71528116216,0.60177513206783151,51.39619813356439,5.5419536945932482,100.8884024082657,102700.09084229416,68763.839284183065,147253.65616988568,378.65399511529847,45.413490937229696,1067.6571955929708,697.37558451312771,0,12678.211826947847,0,12126265.493340557,2012,"12.2, 12.3, 12.5",Other mineral wastes,Total,0,0,11927.061000000002,150470.03999999998,755828.49099999981,11751923.5,12670149.092
191,2012,12.4,Combustion wastes,Total,0,0,0,0,0,0,0,0,1800.74,256394.89800000002,0,0,3386731.8119999995,0,0,0,0,3644927.4499999993,2012,12.4,Combustion wastes,Total,0,0,10132.652000000002,371806.95500000002,3239379.3740000003,0,3621318.9810000001
194,2012,12.6,Soils,Total,0,0,0,0,0,0,1631.6799999999998,0,0,0,0,0,0,0,38401457.345292911,407415.20999999979,0,38810504.235292912,2012,12.6,Soils,Total,0,0,9326561.5380489472,10457623.874999998,16368910.054000003,0,36153095.46704895
